loc,num_functions,avg_function_length,cyclomatic_complexity,max_nesting_depth,max_function_complexity,std_dev_function_complexity,lint_warning_count,comment_to_code_ratio,review_comment_count,test_coverage_percent,num_test_files_linked,code_churn_recent,num_contributors,file_age_days,fan_in,bug_count_total,bug_density,bugs_last_30_days,bug_trend,test_fail_count_related,days_since_last_change,code_quality_score,bug_risk_score,bug_risk_class
1681,62,30.05681682919,29,3,49,3.062717148551592,18,0.05926765554966176,62,49.97037925508761,8,215,3,2562,29,35,0.3243959264039131,18,1,9,157,47.12786201023201,71.74164487327248,4
1009,56,36.43204826750865,18,2,41,3.8004404785410446,170,0.0,75,61.94369606946424,0,54,15,608,19,33,0.9185276723449833,5,0,1,74,41.79959510911336,41.62030190815809,2
450,24,18.015862550241174,26,7,5,0.0,147,0.2536148239746385,25,93.04124357527226,5,473,14,3387,2,96,1.2642734699563143,18,1,8,69,45.1806677043613,86.48760513379582,5
1004,14,16.89067515533177,24,2,26,0.0,15,0.036430719327269545,71,61.430470148793034,4,108,2,2357,4,46,0.19942561796434943,7,-1,7,295,54.25652164591263,10.374761107033446,0
2723,47,27.216169826939243,4,2,6,2.3410335458945246,15,0.47813044703682583,21,58.14082683442541,3,449,9,3071,6,57,1.0419845408272954,2,1,18,287,81.19264958681539,41.91665040480397,2
1703,79,28.398273147698685,6,5,42,2.3372351497471278,31,0.16534170805754217,48,87.31444579730223,8,10,2,1037,32,20,0.5751579181421957,5,0,2,175,65.47592613181081,31.93773662276597,2
167,56,42.25626108105701,19,8,40,4.711280704252605,49,0.17911410774329697,39,46.22613207731858,1,322,4,2357,14,0,0.5622976807102983,6,0,7,309,43.94864627860724,27.442645162681277,1
1043,69,27.64879789949809,14,1,18,3.196676915974729,125,0.26484811017575627,41,89.62453865886596,6,367,13,728,34,20,0.38361082710622807,0,0,7,288,65.69935687480316,27.978466961366205,1
980,55,21.7801830033033,1,8,21,1.6018503730401157,198,0.1204117214046232,39,57.021972530581195,7,151,15,3368,7,79,1.0399618378894604,9,-1,10,334,50.90340947149831,27.484122018586554,1
872,8,15.918556251907313,10,1,1,1.0572038183307786,183,0.0464088157569357,81,36.14801679036766,10,180,3,2539,4,4,0.0,5,-1,15,252,52.24164043412533,8.736511267750537,0
1678,77,44.42443615395643,6,6,10,2.7218790608357724,34,0.1876405868033854,98,55.48764726539529,6,18,5,2207,17,16,1.664098156353847,2,-1,0,206,66.71744587065143,11.297704448318022,0
1533,53,29.63745297756731,8,2,15,1.4435471135861857,37,0.20586740329408887,87,54.726919931991816,10,11,4,3254,23,83,0.0,3,0,1,135,74.48713513420756,22.05598544241613,1
2333,20,24.513486213088793,5,5,50,1.368140013924748,152,0.08904240623931721,87,64.78075550257125,4,262,9,365,49,67,1.8252612084359483,9,1,30,4,42.00187985734938,97.7647818640367,5
1569,20,11.092332585590345,9,5,8,5.500824325793419,102,0.2648294921637986,22,64.16709718376715,8,230,4,169,34,84,2.5430847432058883,1,-1,3,353,77.5386669864366,43.16471134057183,2
955,39,12.046883472160278,21,4,7,2.869175869295438,75,0.28414100475570747,66,85.2693630646949,10,143,1,1693,4,36,0.5568667967125385,5,1,4,349,65.18214891562384,41.92528050723284,2
2340,70,22.029195455761922,4,4,19,6.440151414718898,121,0.24753361691990877,61,84.09558673058547,10,129,14,1014,31,20,2.4898502140275185,0,-1,2,273,67.82411695783975,40.54990594239331,2
626,13,18.129891924409502,27,4,47,3.53782395712374,125,0.14166093871772972,61,74.17944942250979,2,10,14,274,11,13,0.6062861174122353,11,-1,6,8,46.163819555870376,38.048175330655646,2
2851,54,36.944650795817054,22,1,17,1.5943525105998444,187,0.32419931911178523,29,72.27336327261857,8,493,13,2650,22,10,1.145831063411493,18,0,28,257,49.11824126964245,67.23107099855086,4
2804,34,30.98481523814903,7,6,43,0.45116265856888793,77,0.10202273350678533,3,100.0,6,91,5,47,37,71,1.300170188922401,9,1,24,12,61.73905921199942,86.6467543543111,5
1060,44,5.0,7,2,12,2.5938321871317838,90,0.06972369023158184,47,36.93766244615891,6,75,6,1263,27,11,0.8570009352440554,5,-1,19,54,68.99378051119842,33.753125133143655,2
540,77,9.473445232943824,7,8,15,1.0876800674151272,2,0.06744137055611604,91,78.53520884248033,3,73,2,3502,12,0,2.147374582312538,2,-1,19,149,76.35627192017186,12.93026555522647,0
