loc,num_functions,avg_function_length,cyclomatic_complexity,max_nesting_depth,max_function_complexity,std_dev_function_complexity,lint_warning_count,comment_to_code_ratio,review_comment_count,test_coverage_percent,num_test_files_linked,code_churn_recent,num_contributors,file_age_days,fan_in,bug_count_total,bug_density,bugs_last_30_days,bug_trend,test_fail_count_related,days_since_last_change,code_quality_score,bug_risk_score,bug_risk_class
1626,15,30.247820674823153,11,8,26,2.3278328407141404,18,0.2600640938202717,100,44.77080430847377,5,499,10,547,24,68,1.1291307847513465,0,0,21,105,50.15807431962932,76.4231360283143,4
330,67,23.03868919234356,10,2,8,5.345182658309889,124,0.16870846607053003,8,48.90624375014919,2,12,8,3368,26,3,0.9652534093736351,3,0,3,58,62.31045101004856,45.457960436679414,2
1177,60,41.30564370955253,21,3,33,6.100726148450058,175,0.23349757250400413,73,43.22598885899883,9,105,1,1782,10,63,1.9823691312228005,11,1,23,49,52.47424657256243,92.88875836488494,5
2546,31,33.7267427140203,9,5,20,3.549556259957247,157,0.1408784898237085,95,86.6468323893762,6,160,13,3304,4,1,0.8944262099782245,2,-1,1,228,64.09070942030043,19.922135669326664,0
2345,51,11.20336354363069,2,4,25,0.0,57,0.11774279102199846,88,65.9707879540198,0,223,13,1117,4,58,0.13007980721356238,5,-1,11,251,66.73012867488599,52.90708246281531,2
891,63,38.94709193147864,6,3,15,4.5242889737629435,56,0.2976221975413046,61,74.69650230278341,2,197,15,3415,21,52,0.5488390017250864,0,-1,7,27,67.90747133347828,43.023499810449295,2
925,51,58.11197849791585,13,2,27,6.556123217379047,184,0.26791581038868933,95,57.41542151920718,5,198,3,2460,14,10,0.5983387403997371,7,-1,11,171,43.765565079183325,34.77640100477199,1
2878,29,25.2519231054745,22,4,20,1.537129420283278,34,0.13937910332121067,81,53.64185862937051,6,217,1,3365,6,27,0.6842468404158111,7,-1,8,292,57.83492733261245,33.48732433664635,1
1015,57,36.150278601208775,15,6,19,0.0,131,0.10058430885449057,68,61.79039090936493,5,119,3,2677,11,12,0.0,3,-1,28,187,52.385443663790866,37.52755197092059,1
1691,68,36.9502359938823,1,5,3,2.7173212861088425,94,0.17570451415003419,89,86.37555028426283,8,47,5,3268,18,10,1.0354454928234664,3,-1,12,324,87.7107063371301,18.28641045012262,0
203,57,24.214734879173832,5,7,1,4.378652927498433,11,0.05521056041131253,90,56.64104101626447,1,61,2,1412,33,1,0.41195747170837416,1,-1,4,247,75.33957740150973,13.503971342697966,0
452,78,35.557064203429356,21,2,35,4.471411377919876,106,0.06003108646007743,38,43.276066644387605,7,91,2,3178,14,28,0.08593711005761051,0,-1,3,270,42.44534553334641,27.246967423998846,1
1682,9,5.0,7,5,47,2.871482962509856,106,0.2591399087503012,15,66.07121853380971,2,454,12,654,6,30,0.8660197175675507,9,-1,28,47,53.54610528355028,87.01091369581889,5
351,17,9.897119209609336,3,7,46,5.036768104703146,7,0.25421606678864955,34,51.89346585685631,7,252,5,3096,1,19,1.1630210737287108,6,-1,20,316,69.28639253957414,48.26822433890858,2
2517,42,24.589334442665066,11,6,1,6.244264195771121,24,0.28110972977405707,67,30.29735596601118,2,221,9,1423,1,72,2.191168081473776,7,-1,2,225,69.4427564718902,54.65451832457548,2
1314,20,48.7040062801524,13,2,1,0.8382312876934717,112,0.16913901057192707,17,68.60208552417481,6,298,2,360,6,4,0.10367562732829994,3,-1,29,190,61.2651353789881,44.66145656230895,2
1368,3,37.05295235282288,5,8,42,3.7515458224819183,93,0.04534662488268662,24,71.68358546782149,2,336,9,2955,26,43,0.8858647835768736,0,-1,1,34,50.657632509668,52.52924659020395,2
130,19,37.92995421146506,2,6,41,0.0,28,0.15973004832721313,1,64.61323119829555,0,98,5,2452,26,67,0.8831275309003939,4,0,12,32,56.40196306344097,78.52911806454783,4
2803,41,40.595378607079766,19,8,15,3.1988210293046784,84,0.09878771800605386,8,69.08636568302373,0,439,2,400,33,54,0.027452882349328078,18,1,24,12,54.172947544773976,100.0,5
1323,7,29.902292212007293,11,8,32,3.390115144763028,104,0.27226712958944493,66,93.20962416391376,9,183,12,3317,30,14,0.39806381955893755,1,0,27,267,61.74020897351915,49.867740044766975,2
203,57,24.214734879173832,5,7,1,4.378652927498433,11,0.05521056041131253,90,56.64104101626447,1,61,2,1412,33,1,0.41195747170837416,1,-1,4,247,75.33957740150973,13.503971342697966,0
2069,33,39.94142741259133,10,3,30,3.8882473318676345,159,0.28302850115425365,86,48.71725488409689,8,199,14,2355,16,8,0.9052095090699362,4,0,11,181,48.87754463508675,47.32925918544185,2
1298,63,26.767728428378167,29,8,4,5.273651568687642,164,0.0818283638608695,86,71.4133829618765,10,127,9,1876,1,11,0.5628723986918442,0,-1,4,244,49.907485198655685,19.811784648515243,0
2527,50,29.69317101287465,14,8,43,4.083898101369773,49,0.048499900769963855,74,58.77151943321603,5,394,5,3551,2,34,0.7592721843966921,7,-1,15,127,47.80876796224835,58.469853602896166,3
2690,59,17.895067146379514,7,2,8,3.986447309252912,165,0.26316677748345024,43,88.9848347914025,0,91,6,3495,17,1,0.4291035152761339,0,-1,0,91,72.10686201397776,17.86024944709607,0
257,79,40.12902752357277,6,8,37,1.8078729275429168,38,0.2235705601580817,94,74.78318845780981,10,12,8,1983,5,0,0.25231335043935255,1,-1,7,245,66.83488881329032,15.828989988509697,0
2609,2,59.73869846209701,5,5,1,0.0,174,0.3696193325917735,85,57.16354580764138,1,82,5,2890,47,3,0.0,4,1,3,118,69.18527319980548,38.1937464482263,1
1018,43,20.87610493575926,6,6,23,2.470128121075837,145,0.23631796945369737,16,50.623941177720354,4,355,4,2253,12,5,0.23995354873098895,2,-1,27,143,58.14939676230118,51.546336477899466,2
2090,77,5.0,6,2,34,5.720875356344937,155,0.23086632186055556,38,84.71422546690773,8,344,11,1867,35,57,0.3386191608424194,0,0,9,241,60.80604409054587,65.2948452947995,3
2855,58,28.043121716540384,19,8,26,2.166356875501679,80,0.03389349785655213,46,60.5742436700314,4,348,4,1158,45,68,1.064523449232106,9,-1,23,266,53.05592878229138,83.44934113494503,4
2079,27,50.132967582497635,5,4,4,3.9452179399729284,197,0.2438362612728034,99,39.382750984238584,10,366,2,2711,36,13,0.8445416041130853,4,-1,0,355,43.602125533740335,18.500827147472794,0
1940,74,27.69063228677069,9,4,4,4.152527991692236,96,0.23124803479163364,16,51.8333051682444,6,377,6,1738,13,2,0.5530568473451702,2,-1,4,354,67.59891972802794,33.3140483128014,1
